Home_Team,Away_Team,Player,Tries,Position,isHomePlayer,Prev_Round_Tries,Prev_Round_MinsPlayed,Prev_Round_All_RunMeters,Prev_OpponentTotalTackles,Prev_OpponentTeamTackleEfficiency
Broncos,Storm,Young Tonumaipea,0,Left Centre,No,0.0,80.0,109.0,266,1084.93
Broncos,Storm,Corey Oates,0,Winger,Yes,0.0,80.0,121.0,269,1000.6500000000001
Broncos,Storm,Jock Madden,0,Halfback,Yes,0.0,80.0,54.0,269,1000.6500000000001
Broncos,Storm,Tyson Smoothy,0,Hooker,Yes,0.0,26.0,0.0,269,1000.6500000000001
Broncos,Storm,Jordan Riki,0,Second Row,Yes,0.0,54.0,72.0,269,1000.6500000000001
Sea Eagles,Wests Tigers,Tolutau Koula,2,Fullback,Yes,0.0,80.0,312.0,262,1143.8100000000002
Sea Eagles,Wests Tigers,Jason Saab,2,Winger,Yes,2.0,80.0,114.0,262,1143.8100000000002
Sea Eagles,Wests Tigers,Brad Parker,0,Right Centre,Yes,0.0,80.0,92.0,262,1143.8100000000002
Sea Eagles,Wests Tigers,Morgan Harper,0,Left Centre,Yes,0.0,80.0,77.0,262,1143.8100000000002
Sea Eagles,Wests Tigers,Raymond Tuaimalo Vaega,1,Winger,Yes,1.0,80.0,151.0,262,1143.8100000000002
Sea Eagles,Wests Tigers,Jake Arthur,0,Five-Eighth,Yes,0.0,80.0,77.0,262,1143.8100000000002
Sea Eagles,Wests Tigers,Toafofoa Sipley,0,Prop,Yes,1.0,48.0,148.0,262,1143.8100000000002
Sea Eagles,Wests Tigers,Lachlan Croker,0,Hooker,Yes,1.0,57.0,5.0,262,1143.8100000000002
Sea Eagles,Wests Tigers,Sean Keppie,0,Prop,Yes,0.0,43.0,98.0,262,1143.8100000000002
Sea Eagles,Wests Tigers,Haumole Olakau'atu,1,Second Row,Yes,1.0,80.0,85.0,262,1143.8100000000002
Sea Eagles,Wests Tigers,Ben Trbojevic,0,Second Row,Yes,0.0,62.0,119.0,262,1143.8100000000002
Sea Eagles,Wests Tigers,Jake Trbojevic,1,Lock Forward,Yes,0.0,71.0,77.0,262,1143.8100000000002
Rabbitohs,Roosters,Joseph-Aukuso Suaalii,0,Winger,No,1.0,80.0,248.0,273,1098.4
Rabbitohs,Roosters,Billy Smith,1,Right Centre,No,0.0,68.0,171.0,273,1098.4
Rabbitohs,Roosters,Corey Allan,0,Left Centre,No,0.0,80.0,60.0,273,1098.4
