Round_Number,Home_Team,Home_Score,Away_Team,Away_Score,Player,Tries
10,Sharks,16,Dolphins,36,William Kennedy,1
10,Sharks,16,Dolphins,36,Sione Katoa,0
10,Sharks,16,Dolphins,36,Jesse Ramien,0
10,Sharks,16,Dolphins,36,Siosifa Talakai,0
10,Sharks,16,Dolphins,36,Ronaldo Mulitalo,1
10,Sharks,16,Dolphins,36,Matt Moylan,0
10,Sharks,16,Dolphins,36,Nicholas Hynes,0
10,Sharks,16,Dolphins,36,Oregon Kaufusi,0
10,Sharks,16,Dolphins,36,Blayke Brailey,0
10,Sharks,16,Dolphins,36,Royce Hunt,0
10,Sharks,16,Dolphins,36,Briton Nikora,0
10,Sharks,16,Dolphins,36,Teig Wilton,1
10,Sharks,16,Dolphins,36,Cameron McInnes,0
10,Sharks,16,Dolphins,36,Hamiso Tabuai-Fidow,1
10,Sharks,16,Dolphins,36,Jamayne Isaako,0
10,Sharks,16,Dolphins,36,Euan Aitken,0
10,Sharks,16,Dolphins,36,Valynce Te Whare,0
10,Sharks,16,Dolphins,36,Tesi Niu,1
10,Sharks,16,Dolphins,36,Kodi Nikorima,0
10,Sharks,16,Dolphins,36,Isaiya Katoa,1
10,Sharks,16,Dolphins,36,Kenneath Bromwich,0
10,Sharks,16,Dolphins,36,Jeremy Marshall-King,0
10,Sharks,16,Dolphins,36,Poasa Faamausili,0
10,Sharks,16,Dolphins,36,Felise Kaufusi captain,0
10,Sharks,16,Dolphins,36,Connelly Lemuelu,1
10,Sharks,16,Dolphins,36,Tom Gilbert,0
