Player,Number,Position,MinsPlayed,Points,Tries,Conversions,Conversion Attempts,PenaltyGoals,1 Point FieldGoals,2 Point FieldGoals,TotalPoints,AllRuns,All RunMetres,Kick ReturnMetres,Post ContactMetres,LineBreaks,Line BreakAssists,TryAssists,Line EngagedRuns,TackleBreaks,HitUps,Play TheBall,Average Play The BallSpeed,Dummy HalfRuns,Dummy Half RunMetres,One on OneSteal,Offloads,DummyPasses,Passes,Receipts,Passes To RunRatio,Tackle Efficiency,TacklesMade,MissedTackles,Ineffective Tackles,Intercepts,KicksDefused,Kicks,KickingMetres,Forced DropOuts,BombKicks,Grubbers,40/20,20/40,Cross FieldKicks,KickedDead,Errors,Handling Errors,One on OneLost,Penalties,Ruck Infringements,Inside 10Metres,OnReport,SinBins,SendOffs,StintOne,StintTwo
Tyrell Sloan,1,Fullback,80,0,0,0,0,0,0,0,10,12,99,14,16,0,0,0,0,3,0,0,3.61,0,0,0,1,0,34,43,2.83,60.0,3,2,0,0,2,1,0,0,0,1,0,0,0,0,2,2,0,3,0,0,0,0,0,80,0
Mathew Feagai,2,Winger,80,0,0,0,0,0,0,0,25,20,157,32,36,0,0,0,0,4,1,0,3.78,1,14,0,0,0,2,25,0.1,83.33,5,1,0,0,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,80,0
Mosese Suli,3,Centre,80,0,0,0,0,0,0,0,31,15,151,0,52,0,1,0,0,5,1,0,3.25,0,0,0,0,0,4,18,0.27,71.43,10,2,2,0,0,1,26,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,80,0
Max Feagai,4,Centre,80,0,0,0,0,0,0,0,26,16,146,0,47,0,0,0,0,4,1,0,2.84,0,0,0,0,0,6,20,0.38,82.35,14,2,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,80,0
Mikaele Ravalawa,5,Winger,80,4,1,0,0,0,0,0,43,18,202,69,53,1,0,0,0,3,0,0,3.38,0,0,0,0,0,2,24,0.11,80.0,4,1,0,0,2,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,80,0
Talatau Amone,6,Five-Eighth,80,0,0,0,0,0,0,0,26,7,42,0,3,0,0,0,0,0,0,0,3.1,0,0,0,0,6,40,45,5.71,89.29,25,3,0,0,0,3,70,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,80,0
Ben Hunt,7,Halfback,80,0,0,0,0,0,0,0,34,6,53,0,5,0,0,0,0,0,0,0,2.56,1,6,0,1,3,80,89,13.33,80.0,40,10,0,0,0,8,227,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
Jack De Belin,8,Prop,74,0,0,0,0,0,0,0,72,17,142,0,33,0,1,1,0,0,11,0,3.2,0,0,0,1,2,10,21,0.59,91.38,53,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,4
Moses Mbye,9,Hooker,24,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,28,28,0.0,84.21,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
Blake Lawrie,10,Prop,45,0,0,0,0,0,0,0,43,11,108,23,37,0,0,0,0,1,9,0,3.43,0,0,0,0,0,0,11,0.0,94.29,33,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,19
Billy Burns,11,2nd Row,61,0,0,0,0,0,0,0,29,9,86,0,23,0,0,0,0,2,9,0,2.74,0,0,0,0,0,1,9,0.11,79.41,27,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,60,0
Jaydn Su'a,12,2nd Row,80,0,0,0,0,0,0,0,53,15,120,0,27,0,0,1,0,4,13,0,2.98,0,0,0,2,0,6,18,0.4,86.49,32,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,80,0
Jack Bird,13,Lock,54,0,0,0,1,0,0,0,50,12,102,0,29,0,0,0,0,3,10,0,3.01,0,0,0,0,0,7,18,0.58,91.84,45,3,1,0,0,1,27,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,29,24
