,Round_Number,Home_Team,Home_Score,Away_Team,Away_Score,Player,Tries,isHomePlayer,OppoentTotalTackles,OpponentTeamTackleEfficiency,OpponentTotalMissedTackles,OpponentTotalIneffectiveTakcles,Position,MinsPlayed,Points,TotalPoints,AllRuns,All RunMetres,Post ContactMetres,LineBreaks,TackleBreaks,Average Play The BallSpeed,Receipts,Home_All_Runs,Home_All_Run_Meters,Home_Post_Contact_Meters,Home_Line_Breaks,Home_Tackle_Breaks,Home_Average_Distance,Home_Kick_Return_Meters,Home_Average_Ball_Play_Speed,Away_All_Runs,Away_All_Run_Meters,Away_Post_Contact_Meters,Away_Line_Breaks,Away_Tackle_Breaks,Away_Average_Distance,Away_Kick_Return_Meters,Away_Average_Ball_Play_Speed,Home_Effective_Tackles %,Home_Tackles_Made,Home_Missed_Tackles,Home_Ineffective_Tackles,Away_Effective_Tackles %,Away_Tackles_Made,Away_Missed_Tackles,Away_Ineffective_Tackles,Home_Errors,Home_Penalties,Home_Ruck_Infrigments,Home_Inside_10M,Away_Errors,Away_Penalties,Away_Ruck_infrigments,Away_Inside_10M,Home_Offloads,Home_Receipts,Home_Total_Passes,Home_Dummy_Passes,Away_Offloads,Away_Receipts,Away_Total_Passes,Away_Dummy_Passes,Home_Possesion,Home_Time_Possesion,Home_Completion_Rate,Away_Possesion,Away_Time_Possesion,Away_Completion_Rate
0,10.0,Bulldogs,30.0,Raiders,34.0,Hayze Perham,1.0,1.0,216.0,1058.06,20.0,14.0,Fullback,80.0,4.0,54.0,20.0,167.0,41.0,0.0,5.0,3.41,40.0,141.0,"1,200",321.0,1.0,23.0,33.36,129.0,3.48,167.0,"1,476",469.0,4.0,32.0,36.91,101.0,3.53,86.65,318.0,32.0,17.0,88.05,280.0,23.0,15.0,11.0,9.0,1.0,1.0,9.0,5.0,1.0,1.0,8.0,317.0,165.0,4.0,10.0,366.0,195.0,25.0,54.0,24:42,82%,46.0,21:48,72.0
1,10.0,Bulldogs,30.0,Raiders,34.0,Jacob Kiraz,0.0,1.0,216.0,1058.06,20.0,14.0,Winger,80.0,0.0,30.0,14.0,138.0,32.0,0.0,2.0,3.75,21.0,141.0,"1,200",321.0,1.0,23.0,33.36,129.0,3.48,167.0,"1,476",469.0,4.0,32.0,36.91,101.0,3.53,86.65,318.0,32.0,17.0,88.05,280.0,23.0,15.0,11.0,9.0,1.0,1.0,9.0,5.0,1.0,1.0,8.0,317.0,165.0,4.0,10.0,366.0,195.0,25.0,54.0,24:42,82%,46.0,21:48,72.0
2,10.0,Bulldogs,30.0,Raiders,34.0,Jake Averillo,2.0,1.0,216.0,1058.06,20.0,14.0,Centre,80.0,8.0,40.0,7.0,65.0,12.0,0.0,3.0,3.83,8.0,141.0,"1,200",321.0,1.0,23.0,33.36,129.0,3.48,167.0,"1,476",469.0,4.0,32.0,36.91,101.0,3.53,86.65,318.0,32.0,17.0,88.05,280.0,23.0,15.0,11.0,9.0,1.0,1.0,9.0,5.0,1.0,1.0,8.0,317.0,165.0,4.0,10.0,366.0,195.0,25.0,54.0,24:42,82%,46.0,21:48,72.0
3,10.0,Bulldogs,30.0,Raiders,34.0,Paul Alamoti,0.0,1.0,216.0,1058.06,20.0,14.0,Centre,80.0,0.0,20.0,13.0,114.0,29.0,0.0,4.0,3.23,14.0,141.0,"1,200",321.0,1.0,23.0,33.36,129.0,3.48,167.0,"1,476",469.0,4.0,32.0,36.91,101.0,3.53,86.65,318.0,32.0,17.0,88.05,280.0,23.0,15.0,11.0,9.0,1.0,1.0,9.0,5.0,1.0,1.0,8.0,317.0,165.0,4.0,10.0,366.0,195.0,25.0,54.0,24:42,82%,46.0,21:48,72.0
4,10.0,Bulldogs,30.0,Raiders,34.0,Declan Casey,0.0,1.0,216.0,1058.06,20.0,14.0,Winger,80.0,0.0,1.0,7.0,52.0,13.0,0.0,0.0,2.77,11.0,141.0,"1,200",321.0,1.0,23.0,33.36,129.0,3.48,167.0,"1,476",469.0,4.0,32.0,36.91,101.0,3.53,86.65,318.0,32.0,17.0,88.05,280.0,23.0,15.0,11.0,9.0,1.0,1.0,9.0,5.0,1.0,1.0,8.0,317.0,165.0,4.0,10.0,366.0,195.0,25.0,54.0,24:42,82%,46.0,21:48,72.0
5,10.0,Bulldogs,30.0,Raiders,34.0,Josh Reynolds,0.0,1.0,216.0,1058.06,20.0,14.0,Five-Eighth,54.0,0.0,13.0,2.0,9.0,0.0,0.0,0.0,0.0,11.0,141.0,"1,200",321.0,1.0,23.0,33.36,129.0,3.48,167.0,"1,476",469.0,4.0,32.0,36.91,101.0,3.53,86.65,318.0,32.0,17.0,88.05,280.0,23.0,15.0,11.0,9.0,1.0,1.0,9.0,5.0,1.0,1.0,8.0,317.0,165.0,4.0,10.0,366.0,195.0,25.0,54.0,24:42,82%,46.0,21:48,72.0
6,10.0,Bulldogs,30.0,Raiders,34.0,Matt Burton captain,0.0,1.0,216.0,1058.06,20.0,14.0,Five-Eighth,54.0,0.0,13.0,2.0,9.0,0.0,0.0,0.0,0.0,11.0,141.0,"1,200",321.0,1.0,23.0,33.36,129.0,3.48,167.0,"1,476",469.0,4.0,32.0,36.91,101.0,3.53,86.65,318.0,32.0,17.0,88.05,280.0,23.0,15.0,11.0,9.0,1.0,1.0,9.0,5.0,1.0,1.0,8.0,317.0,165.0,4.0,10.0,366.0,195.0,25.0,54.0,24:42,82%,46.0,21:48,72.0
7,10.0,Bulldogs,30.0,Raiders,34.0,Max King,0.0,1.0,216.0,1058.06,20.0,14.0,Prop,51.0,0.0,41.0,7.0,65.0,17.0,0.0,2.0,3.03,7.0,141.0,"1,200",321.0,1.0,23.0,33.36,129.0,3.48,167.0,"1,476",469.0,4.0,32.0,36.91,101.0,3.53,86.65,318.0,32.0,17.0,88.05,280.0,23.0,15.0,11.0,9.0,1.0,1.0,9.0,5.0,1.0,1.0,8.0,317.0,165.0,4.0,10.0,366.0,195.0,25.0,54.0,24:42,82%,46.0,21:48,72.0
8,10.0,Bulldogs,30.0,Raiders,34.0,Reed Mahoney,0.0,1.0,216.0,1058.06,20.0,14.0,Hooker,80.0,0.0,46.0,6.0,33.0,4.0,0.0,0.0,3.8,88.0,141.0,"1,200",321.0,1.0,23.0,33.36,129.0,3.48,167.0,"1,476",469.0,4.0,32.0,36.91,101.0,3.53,86.65,318.0,32.0,17.0,88.05,280.0,23.0,15.0,11.0,9.0,1.0,1.0,9.0,5.0,1.0,1.0,8.0,317.0,165.0,4.0,10.0,366.0,195.0,25.0,54.0,24:42,82%,46.0,21:48,72.0
9,10.0,Bulldogs,30.0,Raiders,34.0,Tevita Pangai Junior,0.0,1.0,216.0,1058.06,20.0,14.0,Prop,44.0,0.0,40.0,10.0,90.0,26.0,0.0,1.0,3.51,11.0,141.0,"1,200",321.0,1.0,23.0,33.36,129.0,3.48,167.0,"1,476",469.0,4.0,32.0,36.91,101.0,3.53,86.65,318.0,32.0,17.0,88.05,280.0,23.0,15.0,11.0,9.0,1.0,1.0,9.0,5.0,1.0,1.0,8.0,317.0,165.0,4.0,10.0,366.0,195.0,25.0,54.0,24:42,82%,46.0,21:48,72.0
