Player,Number,Position,MinsPlayed,Points,Tries,Conversions,Conversion Attempts,PenaltyGoals,Goal ConversionRate,1 Point FieldGoals,2 Point FieldGoals,TotalPoints,AllRuns,All RunMetres,Kick ReturnMetres,Post ContactMetres,LineBreaks,Line BreakAssists,TryAssists,Line EngagedRuns,TackleBreaks,HitUps,Play TheBall,Average Play The BallSpeed,Dummy HalfRuns,Dummy Half RunMetres,One on OneSteal,Offloads,DummyPasses,Passes,Receipts,Passes To RunRatio,Tackle Efficiency,TacklesMade,MissedTackles,Ineffective Tackles,Intercepts,KicksDefused,Kicks,KickingMetres,Forced DropOuts,BombKicks,Grubbers,40/20,20/40,Cross FieldKicks,KickedDead,Errors,Handling Errors,One on OneLost,Penalties,Ruck Infringements,Inside 10Metres,OnReport,SinBins,SendOffs,StintOne,StintTwo
Latrell Mitchell,1,Fullback,80,12,1,3,3,1,100.0,0,0,64,11,89,12,24,1,1,1,0,6,0,0,3.23,0,0,0,1,0,29,41,2.64,100.0,3,0,0,0,2,2,77,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
Alex Johnston,2,Winger,80,0,0,0,0,0,0.0,0,0,24,15,150,66,30,1,0,0,0,0,0,0,3.71,0,0,0,0,0,4,20,0.27,100.0,5,0,0,0,2,1,13,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,80,0
Isaiah Tass,3,Centre,80,0,0,0,0,0,0.0,0,0,29,17,117,0,37,0,0,0,0,1,0,0,3.93,0,0,0,0,0,8,25,0.47,83.33,20,1,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,80,0
Campbell Graham,4,Centre,80,0,0,0,0,0,0.0,0,0,50,19,193,0,57,1,1,1,0,6,0,0,3.13,0,0,0,1,0,6,22,0.32,76.92,10,2,1,0,0,1,11,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,80,0
Taane Milne,5,Winger,80,8,2,0,0,0,0.0,0,0,57,25,271,17,100,3,0,0,0,3,0,0,3.51,0,0,0,0,0,1,26,0.04,50.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,80,0
Cody Walker,6,Five-Eighth,80,0,0,0,0,0,0.0,0,0,42,15,93,0,10,0,2,0,0,1,0,0,5.4,1,9,0,0,0,42,56,2.8,78.26,18,1,4,0,0,11,393,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,80,0
Lachlan Ilias,7,Halfback,80,0,0,0,0,0,0.0,0,0,45,15,85,4,8,0,1,0,0,0,0,0,4.16,0,0,0,0,0,41,55,2.73,92.59,25,1,1,0,2,9,196,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,80,0
Tevita Tatola,8,Prop,49,0,0,0,0,0,0.0,0,0,44,14,140,0,63,0,0,0,0,4,14,0,3.11,0,0,0,0,0,0,14,0.0,92.31,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,21
Damien Cook,9,Hooker,80,0,0,0,0,0,0.0,0,0,57,3,19,0,3,0,1,1,0,0,1,0,3.0,1,7,0,0,0,117,119,39.0,96.43,54,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,80,0
Hame Sele,10,Prop,40,0,0,0,0,0,0.0,0,0,40,12,119,0,60,0,0,0,0,3,12,0,4.03,0,0,0,0,0,0,13,0.0,95.45,21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,21
Michael Chee Kam,11,2nd Row,79,0,0,0,0,0,0.0,0,0,47,13,106,0,38,0,0,0,0,0,13,0,3.23,0,0,0,1,0,1,14,0.08,94.74,36,2,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,58,20
Jacob Host,12,2nd Row,70,0,0,0,0,0,0.0,0,0,46,9,81,0,39,0,0,0,0,0,9,0,3.03,0,0,0,0,0,1,10,0.11,100.0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,56,12
Cameron Murray,13,Lock,73,0,0,0,0,0,0.0,0,0,67,19,129,0,21,0,0,0,0,0,10,0,3.37,0,0,0,1,0,17,28,0.89,100.0,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,51
