,Round_Number,Home_Team,Home_Score,Away_Team,Away_Score,Player,Tries,isHomePlayer,OppoentTotalTackles,OpponentTeamTackleEfficiency,OpponentTotalMissedTackles,OpponentTotalIneffectiveTakcles,Position,MinsPlayed,Points,TotalPoints,AllRuns,All RunMetres,Post ContactMetres,LineBreaks,TackleBreaks,Average Play The BallSpeed,Receipts,Home_All_Runs,Home_All_Run_Meters,Home_Post_Contact_Meters,Home_Line_Breaks,Home_Tackle_Breaks,Home_Average_Distance,Home_Kick_Return_Meters,Home_Average_Ball_Play_Speed,Away_All_Runs,Away_All_Run_Meters,Away_Post_Contact_Meters,Away_Line_Breaks,Away_Tackle_Breaks,Away_Average_Distance,Away_Kick_Return_Meters,Away_Average_Ball_Play_Speed,Home_Effective_Tackles %,Home_Tackles_Made,Home_Missed_Tackles,Home_Ineffective_Tackles,Away_Effective_Tackles %,Away_Tackles_Made,Away_Missed_Tackles,Away_Ineffective_Tackles,Home_Errors,Home_Penalties,Home_Ruck_Infrigments,Home_Inside_10M,Away_Errors,Away_Penalties,Away_Ruck_infrigments,Away_Inside_10M,Home_Offloads,Home_Receipts,Home_Total_Passes,Home_Dummy_Passes,Away_Offloads,Away_Receipts,Away_Total_Passes,Away_Dummy_Passes,Home_Possesion,Home_Time_Possesion,Home_Completion_Rate,Away_Possesion,Away_Time_Possesion,Away_Completion_Rate
0,13.0,Knights,28.0,Sea Eagles,18.0,Kalyn Ponga captain,0.0,1.0,261.0,1043.97,39.0,9.0,Winger,80.0,4.0,58.0,13.0,227.0,34.0,2.0,8.0,3.87,16.0,210.0,"1,939",436.0,6.0,43.0,43.1,224.0,3.25,148.0,"1,329",355.0,1.0,19.0,40.28,126.0,3.71,89.18,272.0,19.0,14.0,85.03,318.0,43.0,13.0,9.0,7.0,3.0,1.0,7.0,9.0,4.0,0.0,8.0,447.0,268.0,15.0,7.0,357.0,204.0,10.0,45.0,23:05,90%,55.0,27:33,84.0
1,13.0,Knights,28.0,Sea Eagles,18.0,Dominic Young,1.0,1.0,261.0,1043.97,39.0,9.0,Winger,80.0,4.0,58.0,13.0,227.0,34.0,2.0,8.0,3.87,16.0,210.0,"1,939",436.0,6.0,43.0,43.1,224.0,3.25,148.0,"1,329",355.0,1.0,19.0,40.28,126.0,3.71,89.18,272.0,19.0,14.0,85.03,318.0,43.0,13.0,9.0,7.0,3.0,1.0,7.0,9.0,4.0,0.0,8.0,447.0,268.0,15.0,7.0,357.0,204.0,10.0,45.0,23:05,90%,55.0,27:33,84.0
2,13.0,Knights,28.0,Sea Eagles,18.0,Dane Gagai,0.0,1.0,261.0,1043.97,39.0,9.0,Centre,80.0,0.0,41.0,21.0,165.0,29.0,0.0,4.0,2.99,25.0,210.0,"1,939",436.0,6.0,43.0,43.1,224.0,3.25,148.0,"1,329",355.0,1.0,19.0,40.28,126.0,3.71,89.18,272.0,19.0,14.0,85.03,318.0,43.0,13.0,9.0,7.0,3.0,1.0,7.0,9.0,4.0,0.0,8.0,447.0,268.0,15.0,7.0,357.0,204.0,10.0,45.0,23:05,90%,55.0,27:33,84.0
3,13.0,Knights,28.0,Sea Eagles,18.0,Bradman Best,1.0,1.0,261.0,1043.97,39.0,9.0,Centre,80.0,4.0,59.0,15.0,197.0,63.0,0.0,8.0,2.62,15.0,210.0,"1,939",436.0,6.0,43.0,43.1,224.0,3.25,148.0,"1,329",355.0,1.0,19.0,40.28,126.0,3.71,89.18,272.0,19.0,14.0,85.03,318.0,43.0,13.0,9.0,7.0,3.0,1.0,7.0,9.0,4.0,0.0,8.0,447.0,268.0,15.0,7.0,357.0,204.0,10.0,45.0,23:05,90%,55.0,27:33,84.0
4,13.0,Knights,28.0,Sea Eagles,18.0,Greg Marzhew,3.0,1.0,261.0,1043.97,39.0,9.0,Winger,80.0,12.0,84.0,18.0,182.0,41.0,3.0,13.0,2.99,19.0,210.0,"1,939",436.0,6.0,43.0,43.1,224.0,3.25,148.0,"1,329",355.0,1.0,19.0,40.28,126.0,3.71,89.18,272.0,19.0,14.0,85.03,318.0,43.0,13.0,9.0,7.0,3.0,1.0,7.0,9.0,4.0,0.0,8.0,447.0,268.0,15.0,7.0,357.0,204.0,10.0,45.0,23:05,90%,55.0,27:33,84.0
5,13.0,Knights,28.0,Sea Eagles,18.0,Tyson Gamble,0.0,1.0,261.0,1043.97,39.0,9.0,Five-Eighth,80.0,0.0,39.0,13.0,106.0,7.0,1.0,2.0,3.92,40.0,210.0,"1,939",436.0,6.0,43.0,43.1,224.0,3.25,148.0,"1,329",355.0,1.0,19.0,40.28,126.0,3.71,89.18,272.0,19.0,14.0,85.03,318.0,43.0,13.0,9.0,7.0,3.0,1.0,7.0,9.0,4.0,0.0,8.0,447.0,268.0,15.0,7.0,357.0,204.0,10.0,45.0,23:05,90%,55.0,27:33,84.0
6,13.0,Knights,28.0,Sea Eagles,18.0,Jackson Hastings,0.0,1.0,261.0,1043.97,39.0,9.0,Halfback,80.0,4.0,35.0,22.0,140.0,18.0,0.0,0.0,3.37,76.0,210.0,"1,939",436.0,6.0,43.0,43.1,224.0,3.25,148.0,"1,329",355.0,1.0,19.0,40.28,126.0,3.71,89.18,272.0,19.0,14.0,85.03,318.0,43.0,13.0,9.0,7.0,3.0,1.0,7.0,9.0,4.0,0.0,8.0,447.0,268.0,15.0,7.0,357.0,204.0,10.0,45.0,23:05,90%,55.0,27:33,84.0
7,13.0,Knights,28.0,Sea Eagles,18.0,Daniel Saifiti,0.0,1.0,261.0,1043.97,39.0,9.0,Prop,68.0,0.0,43.0,15.0,159.0,51.0,0.0,0.0,3.09,15.0,210.0,"1,939",436.0,6.0,43.0,43.1,224.0,3.25,148.0,"1,329",355.0,1.0,19.0,40.28,126.0,3.71,89.18,272.0,19.0,14.0,85.03,318.0,43.0,13.0,9.0,7.0,3.0,1.0,7.0,9.0,4.0,0.0,8.0,447.0,268.0,15.0,7.0,357.0,204.0,10.0,45.0,23:05,90%,55.0,27:33,84.0
8,13.0,Knights,28.0,Sea Eagles,18.0,Phoenix Crossland,1.0,1.0,261.0,1043.97,39.0,9.0,Hooker,80.0,4.0,50.0,5.0,40.0,5.0,0.0,0.0,0.0,120.0,210.0,"1,939",436.0,6.0,43.0,43.1,224.0,3.25,148.0,"1,329",355.0,1.0,19.0,40.28,126.0,3.71,89.18,272.0,19.0,14.0,85.03,318.0,43.0,13.0,9.0,7.0,3.0,1.0,7.0,9.0,4.0,0.0,8.0,447.0,268.0,15.0,7.0,357.0,204.0,10.0,45.0,23:05,90%,55.0,27:33,84.0
9,13.0,Knights,28.0,Sea Eagles,18.0,Leo Thompson,0.0,1.0,261.0,1043.97,39.0,9.0,Prop,40.0,0.0,35.0,13.0,116.0,38.0,0.0,2.0,3.4,14.0,210.0,"1,939",436.0,6.0,43.0,43.1,224.0,3.25,148.0,"1,329",355.0,1.0,19.0,40.28,126.0,3.71,89.18,272.0,19.0,14.0,85.03,318.0,43.0,13.0,9.0,7.0,3.0,1.0,7.0,9.0,4.0,0.0,8.0,447.0,268.0,15.0,7.0,357.0,204.0,10.0,45.0,23:05,90%,55.0,27:33,84.0
