,Round_Number,Home_Team,Home_Score,Away_Team,Away_Score,Player,Tries,isHomePlayer,OppoentTotalTackles,OpponentTeamTackleEfficiency,OpponentTotalMissedTackles,OpponentTotalIneffectiveTakcles,Position,MinsPlayed,Points,TotalPoints,AllRuns,All RunMetres,Post ContactMetres,LineBreaks,TackleBreaks,Average Play The BallSpeed,Receipts,Home_All_Runs,Home_All_Run_Meters,Home_Post_Contact_Meters,Home_Line_Breaks,Home_Tackle_Breaks,Home_Average_Distance,Home_Kick_Return_Meters,Home_Average_Ball_Play_Speed,Away_All_Runs,Away_All_Run_Meters,Away_Post_Contact_Meters,Away_Line_Breaks,Away_Tackle_Breaks,Away_Average_Distance,Away_Kick_Return_Meters,Away_Average_Ball_Play_Speed,Home_Effective_Tackles %,Home_Tackles_Made,Home_Missed_Tackles,Home_Ineffective_Tackles,Away_Effective_Tackles %,Away_Tackles_Made,Away_Missed_Tackles,Away_Ineffective_Tackles,Home_Errors,Home_Penalties,Home_Ruck_Infrigments,Home_Inside_10M,Away_Errors,Away_Penalties,Away_Ruck_infrigments,Away_Inside_10M,Home_Offloads,Home_Receipts,Home_Total_Passes,Home_Dummy_Passes,Away_Offloads,Away_Receipts,Away_Total_Passes,Away_Dummy_Passes,Home_Possesion,Home_Time_Possesion,Home_Completion_Rate,Away_Possesion,Away_Time_Possesion,Away_Completion_Rate
0,2.0,Dragons,32.0,Titans,18.0,Tyrell Sloan,1.0,1.0,230.0,1015.63,31.0,15.0,Fullback,80.0,4.0,42.0,12.0,109.0,19.0,2.0,3.0,3.91,24.0,196.0,"1,877",558.0,9.0,37.0,46.93,155.0,3.62,147.0,"1,362",409.0,5.0,34.0,37.84,129.0,3.85,84.38,270.0,34.0,16.0,85.34,326.0,37.0,19.0,9.0,7.0,1.0,1.0,13.0,8.0,2.0,1.0,12.0,414.0,231.0,14.0,7.0,323.0,174.0,10.0,45.0,21:59,75%,55.0,26:07,82.0
1,2.0,Dragons,32.0,Titans,18.0,Mathew Feagai,0.0,1.0,230.0,1015.63,31.0,15.0,Winger,80.0,0.0,0.0,6.0,42.0,14.0,0.0,0.0,3.53,7.0,196.0,"1,877",558.0,9.0,37.0,46.93,155.0,3.62,147.0,"1,362",409.0,5.0,34.0,37.84,129.0,3.85,84.38,270.0,34.0,16.0,85.34,326.0,37.0,19.0,9.0,7.0,1.0,1.0,13.0,8.0,2.0,1.0,12.0,414.0,231.0,14.0,7.0,323.0,174.0,10.0,45.0,21:59,75%,55.0,26:07,82.0
2,2.0,Dragons,32.0,Titans,18.0,Mosese Suli,0.0,1.0,230.0,1015.63,31.0,15.0,Centre,80.0,0.0,41.0,14.0,129.0,43.0,0.0,2.0,3.49,14.0,196.0,"1,877",558.0,9.0,37.0,46.93,155.0,3.62,147.0,"1,362",409.0,5.0,34.0,37.84,129.0,3.85,84.38,270.0,34.0,16.0,85.34,326.0,37.0,19.0,9.0,7.0,1.0,1.0,13.0,8.0,2.0,1.0,12.0,414.0,231.0,14.0,7.0,323.0,174.0,10.0,45.0,21:59,75%,55.0,26:07,82.0
3,2.0,Dragons,32.0,Titans,18.0,Zac Lomax,0.0,1.0,230.0,1015.63,31.0,15.0,Centre,80.0,12.0,46.0,13.0,129.0,38.0,0.0,3.0,3.7,17.0,196.0,"1,877",558.0,9.0,37.0,46.93,155.0,3.62,147.0,"1,362",409.0,5.0,34.0,37.84,129.0,3.85,84.38,270.0,34.0,16.0,85.34,326.0,37.0,19.0,9.0,7.0,1.0,1.0,13.0,8.0,2.0,1.0,12.0,414.0,231.0,14.0,7.0,323.0,174.0,10.0,45.0,21:59,75%,55.0,26:07,82.0
4,2.0,Dragons,32.0,Titans,18.0,Mikaele Ravalawa,1.0,1.0,230.0,1015.63,31.0,15.0,Winger,80.0,4.0,59.0,17.0,214.0,57.0,2.0,7.0,3.77,21.0,196.0,"1,877",558.0,9.0,37.0,46.93,155.0,3.62,147.0,"1,362",409.0,5.0,34.0,37.84,129.0,3.85,84.38,270.0,34.0,16.0,85.34,326.0,37.0,19.0,9.0,7.0,1.0,1.0,13.0,8.0,2.0,1.0,12.0,414.0,231.0,14.0,7.0,323.0,174.0,10.0,45.0,21:59,75%,55.0,26:07,82.0
5,2.0,Dragons,32.0,Titans,18.0,Jayden Sullivan,0.0,1.0,230.0,1015.63,31.0,15.0,Five-Eighth,80.0,0.0,21.0,8.0,43.0,6.0,0.0,0.0,4.11,34.0,196.0,"1,877",558.0,9.0,37.0,46.93,155.0,3.62,147.0,"1,362",409.0,5.0,34.0,37.84,129.0,3.85,84.38,270.0,34.0,16.0,85.34,326.0,37.0,19.0,9.0,7.0,1.0,1.0,13.0,8.0,2.0,1.0,12.0,414.0,231.0,14.0,7.0,323.0,174.0,10.0,45.0,21:59,75%,55.0,26:07,82.0
6,2.0,Dragons,32.0,Titans,18.0,Ben Hunt captain,0.0,1.0,230.0,1015.63,31.0,15.0,Five-Eighth,80.0,0.0,21.0,8.0,43.0,6.0,0.0,0.0,4.11,34.0,196.0,"1,877",558.0,9.0,37.0,46.93,155.0,3.62,147.0,"1,362",409.0,5.0,34.0,37.84,129.0,3.85,84.38,270.0,34.0,16.0,85.34,326.0,37.0,19.0,9.0,7.0,1.0,1.0,13.0,8.0,2.0,1.0,12.0,414.0,231.0,14.0,7.0,323.0,174.0,10.0,45.0,21:59,75%,55.0,26:07,82.0
7,2.0,Dragons,32.0,Titans,18.0,Francis Molo,0.0,1.0,230.0,1015.63,31.0,15.0,Prop,40.0,0.0,33.0,11.0,114.0,46.0,0.0,1.0,3.38,12.0,196.0,"1,877",558.0,9.0,37.0,46.93,155.0,3.62,147.0,"1,362",409.0,5.0,34.0,37.84,129.0,3.85,84.38,270.0,34.0,16.0,85.34,326.0,37.0,19.0,9.0,7.0,1.0,1.0,13.0,8.0,2.0,1.0,12.0,414.0,231.0,14.0,7.0,323.0,174.0,10.0,45.0,21:59,75%,55.0,26:07,82.0
8,2.0,Dragons,32.0,Titans,18.0,Moses Mbye,0.0,1.0,230.0,1015.63,31.0,15.0,Hooker,33.0,0.0,16.0,1.0,9.0,3.0,0.0,0.0,2.44,32.0,196.0,"1,877",558.0,9.0,37.0,46.93,155.0,3.62,147.0,"1,362",409.0,5.0,34.0,37.84,129.0,3.85,84.38,270.0,34.0,16.0,85.34,326.0,37.0,19.0,9.0,7.0,1.0,1.0,13.0,8.0,2.0,1.0,12.0,414.0,231.0,14.0,7.0,323.0,174.0,10.0,45.0,21:59,75%,55.0,26:07,82.0
9,2.0,Dragons,32.0,Titans,18.0,Blake Lawrie,1.0,1.0,230.0,1015.63,31.0,15.0,Prop,51.0,4.0,65.0,14.0,137.0,46.0,1.0,4.0,3.72,18.0,196.0,"1,877",558.0,9.0,37.0,46.93,155.0,3.62,147.0,"1,362",409.0,5.0,34.0,37.84,129.0,3.85,84.38,270.0,34.0,16.0,85.34,326.0,37.0,19.0,9.0,7.0,1.0,1.0,13.0,8.0,2.0,1.0,12.0,414.0,231.0,14.0,7.0,323.0,174.0,10.0,45.0,21:59,75%,55.0,26:07,82.0
10,2.0,Dragons,32.0,Titans,18.0,Ben Murdoch-Masila,0.0,1.0,230.0,1015.63,31.0,15.0,2nd Row,71.0,0.0,24.0,7.0,88.0,26.0,1.0,2.0,4.08,11.0,196.0,"1,877",558.0,9.0,37.0,46.93,155.0,3.62,147.0,"1,362",409.0,5.0,34.0,37.84,129.0,3.85,84.38,270.0,34.0,16.0,85.34,326.0,37.0,19.0,9.0,7.0,1.0,1.0,13.0,8.0,2.0,1.0,12.0,414.0,231.0,14.0,7.0,323.0,174.0,10.0,45.0,21:59,75%,55.0,26:07,82.0
11,2.0,Dragons,32.0,Titans,18.0,Jaydn Su'a,0.0,1.0,230.0,1015.63,31.0,15.0,2nd Row,80.0,0.0,32.0,12.0,116.0,47.0,0.0,1.0,3.12,15.0,196.0,"1,877",558.0,9.0,37.0,46.93,155.0,3.62,147.0,"1,362",409.0,5.0,34.0,37.84,129.0,3.85,84.38,270.0,34.0,16.0,85.34,326.0,37.0,19.0,9.0,7.0,1.0,1.0,13.0,8.0,2.0,1.0,12.0,414.0,231.0,14.0,7.0,323.0,174.0,10.0,45.0,21:59,75%,55.0,26:07,82.0
12,2.0,Dragons,32.0,Titans,18.0,Jack Bird,0.0,1.0,230.0,1015.63,31.0,15.0,Lock,47.0,0.0,52.0,15.0,113.0,23.0,0.0,3.0,3.74,24.0,196.0,"1,877",558.0,9.0,37.0,46.93,155.0,3.62,147.0,"1,362",409.0,5.0,34.0,37.84,129.0,3.85,84.38,270.0,34.0,16.0,85.34,326.0,37.0,19.0,9.0,7.0,1.0,1.0,13.0,8.0,2.0,1.0,12.0,414.0,231.0,14.0,7.0,323.0,174.0,10.0,45.0,21:59,75%,55.0,26:07,82.0
13,2.0,Dragons,32.0,Titans,18.0,AJ Brimson,0.0,0.0,204.0,1081.3,28.0,15.0,Fullback,80.0,0.0,40.0,14.0,141.0,33.0,1.0,6.0,3.35,28.0,196.0,"1,877",558.0,9.0,37.0,46.93,155.0,3.62,147.0,"1,362",409.0,5.0,34.0,37.84,129.0,3.85,84.38,270.0,34.0,16.0,85.34,326.0,37.0,19.0,9.0,7.0,1.0,1.0,13.0,8.0,2.0,1.0,12.0,414.0,231.0,14.0,7.0,323.0,174.0,10.0,45.0,21:59,75%,55.0,26:07,82.0
14,2.0,Dragons,32.0,Titans,18.0,Alofiana Khan-Pereira,1.0,0.0,204.0,1081.3,28.0,15.0,Winger,80.0,4.0,26.0,9.0,91.0,11.0,1.0,0.0,3.57,15.0,196.0,"1,877",558.0,9.0,37.0,46.93,155.0,3.62,147.0,"1,362",409.0,5.0,34.0,37.84,129.0,3.85,84.38,270.0,34.0,16.0,85.34,326.0,37.0,19.0,9.0,7.0,1.0,1.0,13.0,8.0,2.0,1.0,12.0,414.0,231.0,14.0,7.0,323.0,174.0,10.0,45.0,21:59,75%,55.0,26:07,82.0
