,Round_Number,Home_Team,Home_Score,Away_Team,Away_Score,Player,Tries,isHomePlayer,OppoentTotalTackles,OpponentTeamTackleEfficiency,OpponentTotalMissedTackles,OpponentTotalIneffectiveTakcles,Position,MinsPlayed,Points,TotalPoints,AllRuns,All RunMetres,Post ContactMetres,LineBreaks,TackleBreaks,Average Play The BallSpeed,Receipts,Home_All_Runs,Home_All_Run_Meters,Home_Post_Contact_Meters,Home_Line_Breaks,Home_Tackle_Breaks,Home_Average_Distance,Home_Kick_Return_Meters,Home_Average_Ball_Play_Speed,Away_All_Runs,Away_All_Run_Meters,Away_Post_Contact_Meters,Away_Line_Breaks,Away_Tackle_Breaks,Away_Average_Distance,Away_Kick_Return_Meters,Away_Average_Ball_Play_Speed,Home_Effective_Tackles %,Home_Tackles_Made,Home_Missed_Tackles,Home_Ineffective_Tackles,Away_Effective_Tackles %,Away_Tackles_Made,Away_Missed_Tackles,Away_Ineffective_Tackles,Home_Errors,Home_Penalties,Home_Ruck_Infrigments,Home_Inside_10M,Away_Errors,Away_Penalties,Away_Ruck_infrigments,Away_Inside_10M,Home_Offloads,Home_Receipts,Home_Total_Passes,Home_Dummy_Passes,Away_Offloads,Away_Receipts,Away_Total_Passes,Away_Dummy_Passes,Home_Possesion,Home_Time_Possesion,Home_Completion_Rate,Away_Possesion,Away_Time_Possesion,Away_Completion_Rate
0,20.0,Bulldogs,24.0,Broncos,44.0,Jake Averillo,2.0,1.0,234.0,1022.06,36.0,22.0,Fullback,80.0,8.0,49.0,13.0,122.0,17.0,1.0,7.0,3.71,34.0,180.0,"1,644",496.0,4.0,38.0,45.68,113.0,3.38,184.0,"1,749",595.0,7.0,29.0,44.85,171.0,3.38,88.7,369.0,29.0,18.0,81.18,276.0,38.0,26.0,9.0,4.0,1.0,0.0,6.0,6.0,1.0,1.0,14.0,389.0,217.0,1.0,11.0,418.0,222.0,14.0,52.0,26:42,84%,48.0,25:45,80.0
1,20.0,Bulldogs,24.0,Broncos,44.0,Blake Wilson,0.0,1.0,234.0,1022.06,36.0,22.0,Winger,80.0,0.0,23.0,14.0,178.0,42.0,0.0,2.0,3.21,18.0,180.0,"1,644",496.0,4.0,38.0,45.68,113.0,3.38,184.0,"1,749",595.0,7.0,29.0,44.85,171.0,3.38,88.7,369.0,29.0,18.0,81.18,276.0,38.0,26.0,9.0,4.0,1.0,0.0,6.0,6.0,1.0,1.0,14.0,389.0,217.0,1.0,11.0,418.0,222.0,14.0,52.0,26:42,84%,48.0,25:45,80.0
2,20.0,Bulldogs,24.0,Broncos,44.0,Braidon Burns,0.0,1.0,234.0,1022.06,36.0,22.0,Centre,49.0,0.0,18.0,7.0,57.0,11.0,0.0,2.0,3.09,7.0,180.0,"1,644",496.0,4.0,38.0,45.68,113.0,3.38,184.0,"1,749",595.0,7.0,29.0,44.85,171.0,3.38,88.7,369.0,29.0,18.0,81.18,276.0,38.0,26.0,9.0,4.0,1.0,0.0,6.0,6.0,1.0,1.0,14.0,389.0,217.0,1.0,11.0,418.0,222.0,14.0,52.0,26:42,84%,48.0,25:45,80.0
3,20.0,Bulldogs,24.0,Broncos,44.0,Jacob Kiraz,0.0,1.0,234.0,1022.06,36.0,22.0,Centre,80.0,0.0,65.0,22.0,230.0,74.0,0.0,10.0,3.32,28.0,180.0,"1,644",496.0,4.0,38.0,45.68,113.0,3.38,184.0,"1,749",595.0,7.0,29.0,44.85,171.0,3.38,88.7,369.0,29.0,18.0,81.18,276.0,38.0,26.0,9.0,4.0,1.0,0.0,6.0,6.0,1.0,1.0,14.0,389.0,217.0,1.0,11.0,418.0,222.0,14.0,52.0,26:42,84%,48.0,25:45,80.0
4,20.0,Bulldogs,24.0,Broncos,44.0,Jeral Skelton,0.0,1.0,234.0,1022.06,36.0,22.0,Centre,80.0,0.0,65.0,22.0,230.0,74.0,0.0,10.0,3.32,28.0,180.0,"1,644",496.0,4.0,38.0,45.68,113.0,3.38,184.0,"1,749",595.0,7.0,29.0,44.85,171.0,3.38,88.7,369.0,29.0,18.0,81.18,276.0,38.0,26.0,9.0,4.0,1.0,0.0,6.0,6.0,1.0,1.0,14.0,389.0,217.0,1.0,11.0,418.0,222.0,14.0,52.0,26:42,84%,48.0,25:45,80.0
5,20.0,Bulldogs,24.0,Broncos,44.0,Matt Burton captain,0.0,1.0,234.0,1022.06,36.0,22.0,Centre,80.0,0.0,65.0,22.0,230.0,74.0,0.0,10.0,3.32,28.0,180.0,"1,644",496.0,4.0,38.0,45.68,113.0,3.38,184.0,"1,749",595.0,7.0,29.0,44.85,171.0,3.38,88.7,369.0,29.0,18.0,81.18,276.0,38.0,26.0,9.0,4.0,1.0,0.0,6.0,6.0,1.0,1.0,14.0,389.0,217.0,1.0,11.0,418.0,222.0,14.0,52.0,26:42,84%,48.0,25:45,80.0
6,20.0,Bulldogs,24.0,Broncos,44.0,Toby Sexton,0.0,1.0,234.0,1022.06,36.0,22.0,Halfback,38.0,0.0,25.0,7.0,54.0,4.0,1.0,2.0,4.53,20.0,180.0,"1,644",496.0,4.0,38.0,45.68,113.0,3.38,184.0,"1,749",595.0,7.0,29.0,44.85,171.0,3.38,88.7,369.0,29.0,18.0,81.18,276.0,38.0,26.0,9.0,4.0,1.0,0.0,6.0,6.0,1.0,1.0,14.0,389.0,217.0,1.0,11.0,418.0,222.0,14.0,52.0,26:42,84%,48.0,25:45,80.0
7,20.0,Bulldogs,24.0,Broncos,44.0,Max King,0.0,1.0,234.0,1022.06,36.0,22.0,Prop,55.0,0.0,46.0,12.0,111.0,39.0,0.0,1.0,3.11,14.0,180.0,"1,644",496.0,4.0,38.0,45.68,113.0,3.38,184.0,"1,749",595.0,7.0,29.0,44.85,171.0,3.38,88.7,369.0,29.0,18.0,81.18,276.0,38.0,26.0,9.0,4.0,1.0,0.0,6.0,6.0,1.0,1.0,14.0,389.0,217.0,1.0,11.0,418.0,222.0,14.0,52.0,26:42,84%,48.0,25:45,80.0
8,20.0,Bulldogs,24.0,Broncos,44.0,Reed Mahoney,0.0,1.0,234.0,1022.06,36.0,22.0,Hooker,80.0,0.0,62.0,7.0,37.0,1.0,0.0,0.0,4.15,92.0,180.0,"1,644",496.0,4.0,38.0,45.68,113.0,3.38,184.0,"1,749",595.0,7.0,29.0,44.85,171.0,3.38,88.7,369.0,29.0,18.0,81.18,276.0,38.0,26.0,9.0,4.0,1.0,0.0,6.0,6.0,1.0,1.0,14.0,389.0,217.0,1.0,11.0,418.0,222.0,14.0,52.0,26:42,84%,48.0,25:45,80.0
9,20.0,Bulldogs,24.0,Broncos,44.0,Raymond Faitala-Mariner,0.0,1.0,234.0,1022.06,36.0,22.0,Prop,31.0,0.0,23.0,6.0,46.0,12.0,0.0,0.0,3.42,8.0,180.0,"1,644",496.0,4.0,38.0,45.68,113.0,3.38,184.0,"1,749",595.0,7.0,29.0,44.85,171.0,3.38,88.7,369.0,29.0,18.0,81.18,276.0,38.0,26.0,9.0,4.0,1.0,0.0,6.0,6.0,1.0,1.0,14.0,389.0,217.0,1.0,11.0,418.0,222.0,14.0,52.0,26:42,84%,48.0,25:45,80.0
