,Round_Number,Home_Team,Home_Score,Away_Team,Away_Score,Player,Tries,isHomePlayer,OppoentTotalTackles,OpponentTeamTackleEfficiency,OpponentTotalMissedTackles,OpponentTotalIneffectiveTakcles,Position,MinsPlayed,Points,TotalPoints,AllRuns,All RunMetres,Post ContactMetres,LineBreaks,TackleBreaks,Average Play The BallSpeed,Receipts
0,27,Sharks,24,Raiders,6,Connor Tracey,0,1,279,1091.84,36,7,Fullback,70.0,0.0,38.0,20.0,191.0,37.0,0.0,2.0,4.29,29.0
1,27,Sharks,24,Raiders,6,Sione Katoa,1,1,279,1091.84,36,7,Winger,80.0,4.0,27.0,12.0,100.0,30.0,1.0,3.0,3.63,12.0
2,27,Sharks,24,Raiders,6,Jesse Ramien,1,1,279,1091.84,36,7,Centre,80.0,4.0,59.0,21.0,200.0,63.0,1.0,11.0,3.45,19.0
3,27,Sharks,24,Raiders,6,Siosifa Talakai,0,1,279,1091.84,36,7,Centre,80.0,0.0,21.0,16.0,165.0,69.0,0.0,3.0,3.29,19.0
4,27,Sharks,24,Raiders,6,Ronaldo Mulitalo,1,1,279,1091.84,36,7,Winger,80.0,4.0,46.0,19.0,171.0,56.0,1.0,8.0,3.02,20.0
5,27,Sharks,24,Raiders,6,Braydon Trindall,1,1,279,1091.84,36,7,Five-Eighth,80.0,8.0,39.0,6.0,39.0,4.0,0.0,2.0,3.8,45.0
6,27,Sharks,24,Raiders,6,Nicholas Hynes,0,1,279,1091.84,36,7,Halfback,80.0,0.0,95.0,21.0,179.0,30.0,0.0,2.0,3.68,66.0
7,27,Sharks,24,Raiders,6,Toby Rudolf,0,1,279,1091.84,36,7,Prop,40.0,0.0,33.0,13.0,116.0,47.0,0.0,1.0,3.09,13.0
8,27,Sharks,24,Raiders,6,Blayke Brailey,0,1,279,1091.84,36,7,Hooker,80.0,0.0,48.0,4.0,32.0,5.0,0.0,1.0,3.93,121.0
9,27,Sharks,24,Raiders,6,Braden Hamlin-Uele,0,1,279,1091.84,36,7,Prop,39.0,0.0,23.0,8.0,80.0,47.0,0.0,1.0,3.0,8.0
10,27,Sharks,24,Raiders,6,Briton Nikora,0,1,279,1091.84,36,7,2nd Row,66.0,0.0,41.0,10.0,93.0,37.0,0.0,0.0,3.43,11.0
11,27,Sharks,24,Raiders,6,Wade Graham captain,0,1,279,1091.84,36,7,,,,,,,,,,,
12,27,Sharks,24,Raiders,6,Cameron McInnes,0,1,279,1091.84,36,7,Lock,55.0,0.0,57.0,11.0,118.0,32.0,0.0,4.0,2.88,35.0
13,27,Sharks,24,Raiders,6,Jordan Rapana,1,0,248,1064.73,23,13,Fullback,80.0,4.0,47.0,23.0,199.0,54.0,0.0,4.0,3.47,33.0
14,27,Sharks,24,Raiders,6,Sebastian Kris,0,0,248,1064.73,23,13,Winger,59.0,0.0,8.0,13.0,120.0,41.0,0.0,3.0,2.47,15.0
15,27,Sharks,24,Raiders,6,Jack Wighton,0,0,248,1064.73,23,13,Centre,80.0,0.0,52.0,17.0,201.0,60.0,1.0,7.0,2.39,19.0
16,27,Sharks,24,Raiders,6,Matthew Timoko,0,0,248,1064.73,23,13,Centre,80.0,0.0,50.0,21.0,250.0,84.0,0.0,6.0,2.39,22.0
17,27,Sharks,24,Raiders,6,Nick Cotric,0,0,248,1064.73,23,13,Winger,80.0,0.0,24.0,19.0,131.0,55.0,1.0,2.0,2.82,23.0
18,27,Sharks,24,Raiders,6,Matt Frawley,0,0,248,1064.73,23,13,Five-Eighth,80.0,0.0,24.0,5.0,45.0,16.0,0.0,0.0,2.73,38.0
19,27,Sharks,24,Raiders,6,Jamal Fogarty,0,0,248,1064.73,23,13,Halfback,80.0,2.0,50.0,9.0,66.0,10.0,0.0,1.0,3.51,62.0
20,27,Sharks,24,Raiders,6,Joseph Tapine,0,0,248,1064.73,23,13,Prop,33.0,0.0,25.0,7.0,69.0,13.0,0.0,1.0,2.69,8.0
21,27,Sharks,24,Raiders,6,Zac Woolford,0,0,248,1064.73,23,13,Hooker,80.0,0.0,63.0,2.0,16.0,0.0,0.0,0.0,0.0,114.0
22,27,Sharks,24,Raiders,6,Ata Mariota,0,0,248,1064.73,23,13,,,,,,,,,,,
23,27,Sharks,24,Raiders,6,Hudson Young,0,0,248,1064.73,23,13,2nd Row,80.0,0.0,47.0,16.0,135.0,41.0,0.0,2.0,3.36,16.0
24,27,Sharks,24,Raiders,6,Elliott Whitehead captain,0,0,248,1064.73,23,13,,,,,,,,,,,
25,27,Sharks,24,Raiders,6,Hohepa Puru,0,0,248,1064.73,23,13,,,,,,,,,,,
